,0
1,[unknown]
2,[unknown]
3,"Browne, D.L."
4,[unknown]
5,[unknown]
6,[unknown]
7,[unknown]
8,[unknown]
9,"David, Kitty"
10,"David, Kitty"
11,"David, Kitty"
12,"Jue, Frank"
13,[unknown]
14,[unknown]
15,[unknown]
16,[unknown]
17,[unknown]
18,[unknown]
19,[unknown]
20,[unknown]
21,[unknown]
22,"MacMunn, Charles"
23,"Patterson, Harry"
24,[unknown]
25,International Silver Company of Canada
26,[unknown]
27,[unknown]
28,[unknown]
30,[unknown]
31,[unknown]
32,[unknown]
115,[unknown]
116,[unknown]
117,"H.S. Harwood, Mr. and Mrs."
118,[unknown]
211,Mappin and Webb
212,Mappin and Webb
213,Elkington and Company
267,Mappin and Webb
268,Elkington and Company
269,Mappin and Webb
270,Elkington and Company
329,[unknown]
330,[unknown]
331,[unknown]
383,Limoges
384,Limoges
385,Limoges
386,Alfred Meakin
387,Alfred Meakin
388,Alfred Meakin
536,[unknown]
537,[unknown]
538,E. Chapman Limited
539,[unknown]
33,Elkington and Company
34,Elkington and Company
35,International Silver Company of Canada
36,International Silver Company of Canada
37,Collingwood China Ltd.
38,[unknown]
39,[unknown]
40,Collingwood China Ltd.
41,Ridgway Potteries
42,Ridgway Potteries
43,Ridgway Potteries
44,Ridgway Potteries
45,Medalta
46,Minton
47,Minton
48,North Staffordshire Pottery Company
49,[unknown]
50,[unknown]
51,[unknown]
52,[unknown]
53,"Yip, Randall|Canadian Broadcasting Corporation"
54,"Yip, Randall"
55,"Yip, Randall|Canadian Broadcasting Corporation"
56,Public Schools of British Columbia
57,"Price, J. Glanville"
58,Public Schools of British Columbia
59,Public Schools of British Columbia
60,[unknown]
61,W.H. Grindley and Company
62,John Maddock and Sons
63,John Maddock and Sons
64,John Maddock and Sons
65,W.H. Grindley and Company
66,W.H. Grindley and Company
67,W.H. Grindley and Company
68,W.H. Grindley and Company
69,Piper
71,[unknown]
72,[unknown]
73,W.H. Grindley and Company
74,W.H. Grindley and Company
75,[unknown]
76,[unknown]
77,Empress Manufacturing Company
78,[unknown]
79,International Silver Company of Canada
80,[unknown]
81,[unknown]
82,[unknown]
83,[unknown]
84,[unknown]
85,Canadian Pacific Limited
86,Canadian Pacific Limited
87,Canadian Pacific Limited
88,Canadian Pacific Limited
89,Canadian Pacific Limited|CP Ships
90,CP Ships
91,CP Rail
92,Canadian Pacific Limited
93,"Fraser, Norman"
94,Canadian Pacific Limited
95,"King, Cecil"
96,"Finch, W. G."
97,Canadian Pacific Limited
98,Canadian Pacific Railway Company
99,Canadian Pacific Railway Company
100,Canadian Pacific Railway Company
101,Canadian Pacific Railway Company
102,Canadian Pacific Limited
103,[unknown]
104,[unknown]
105,[unknown]
106,[unknown]
107,"Blake, Arthur E."
108,[unknown]
109,[unknown]
110,[unknown]
111,[unknown]
112,[unknown]
113,[unknown]
114,[unknown]
119,[unknown]
120,[unknown]
121,[unknown]
122,"Crawford, Lawrence"
123,[unknown]
124,"Pollard, Harry"
125,"Fraser, Donald"
126,"Power, Sir James, and Lady Power"
127,"Sykes, Frank B."
128,[unknown]
129,[unknown]
130,[unknown]
131,"Ratcliffe, E.M.E."
132,[unknown]
133,[unknown]
134,Canadian Car and Foundry
135,Canadian Car and Foundry
136,Canadian Car and Foundry
137,Canadian Car and Foundry
138,[unknown]
139,[unknown]
140,Hill
141,[unknown]
142,[unknown]
143,[unknown]
144,[unknown]
145,[unknown]
146,[unknown]
147,[unknown]
148,[unknown]
149,[unknown]
150,Empress Manufacturing Company
151,Empress Manufacturing Company
152,[unknown]
153,[unknown]
154,[unknown]
155,[unknown]
156,[unknown]
157,[unknown]
158,[unknown]
159,[unknown]
160,[unknown]
161,[unknown]
162,[unknown]
163,Canadian Pacific Steamships Ocean Services Limited
164,Canadian Pacific Steamships Ocean Services Limited
165,Canadian Pacific Steamships Ocean Services Limited
166,[unknown]
167,[unknown]
168,[unknown]
169,[unknown]
170,Mappin and Webb
171,Mappin and Webb
172,Mappin and Webb
173,Colibri Lighters
174,Elkington and Company
175,Elkington and Company
176,Elkington and Company
177,Elkington and Company
178,Elkington and Company
179,International Silver Company of Canada
180,[unknown]
181,[unknown]
182,Mappin and Webb
183,Elkington and Company
184,Elkington and Company
185,Thermos Bottle Company
186,Elkington and Company
187,Mappin and Webb
188,Elkington and Company
189,Elkington and Company
190,[unknown]
191,International Silver Company of Canada
192,Mappin and Webb
193,Mappin and Webb
194,International Silver Company of Canada
195,Mappin and Webb
196,International Silver Company of Canada
197,"Landers, Frary and Clark"
198,Thermos Bottle Company
199,Elkington and Company
200,Mappin and Webb
201,Elkington and Company
202,International Silver Company of Canada
203,International Silver Company of Canada
204,Mappin and Webb
205,Elkington and Company
206,Mappin and Webb
207,International Silver Company of Canada
208,Elkington and Company
209,Elkington and Company
210,Mappin and Webb
214,Elkington and Company
215,International Silver Company of Canada
216,International Silver Company of Canada
217,Elkington and Company
218,Elkington and Company
219,Elkington and Company
220,Elkington and Company
221,Elkington and Company
222,International Silver Company of Canada
223,Birmingham Silver Plate Limited
224,Elkington and Company
225,Elkington and Company
226,Elkington and Company
227,Elkington and Company
228,Elkington and Company
229,Birmingham Silver Plate Limited
230,Mappin and Webb
231,Mappin and Webb
232,Elkington and Company
233,Elkington and Company
234,Mappin and Webb
235,Morton-Parke
236,Elkington and Company
237,Mappin and Webb
238,Mappin and Webb
239,[unknown]
240,Mappin and Webb
241,Mappin and Webb
242,Elkington and Company
243,Elkington and Company
244,Mappin and Webb
245,Wiley and Company
246,Elkington and Company
247,Mappin and Webb
248,Mappin and Webb
249,Elkington and Company
250,Mappin and Webb
251,Mappin and Webb
252,International Silver Company of Canada
253,Elkington and Company
254,Elkington and Company
255,Elkington and Company
256,Mappin and Webb
257,Elkington and Company
258,[unknown]
259,[unknown]
260,Elkington and Company
261,Mappin and Webb
262,Mappin and Webb
263,[unknown]
264,Elkington and Company
265,Elkington and Company
266,Mappin and Webb
271,Elkington and Company
272,Mappin and Webb
273,Mappin and Webb
274,[unknown]
275,[unknown]
276,[unknown]
277,[unknown]
278,[unknown]
279,[unknown]
280,[unknown]
281,[unknown]
282,[unknown]
283,[unknown]
284,[unknown]
285,[unknown]
