Old,New
[Bauzong studio],Bauzong Studio
[Bing Kong Tong],Bing Kong Tong
"[Bohm, Charles]","Bohm, Charles"
[Bonhene?],"Borchers, Louis"
[Burrard Yarrows Corporation],Yarrows Limited
[Campbell?],Campbell
[Chinese District Jubilee Queen Committee],Chinese District Jubilee Queen Committee
[Chinese residents of Vancouver],Wing Sang Company
[Chinese United Growers' Association],Chinese United Growers' Association
"[Claypool, Charles E.]","Claypool, Charles E. "
[Colony of British Columbia],British Columbia (Colony). Governor
"[Dick, Archibald]","Dick, Archibald."
"[Eksman, Elmer?]","Ekman, Elmer"
[Government of British Columbia],British Columbia. Legislative Assembly
[Government of Canada],Canada
"[Hamacher, E.J.]","Hamacher, Ephraim J. "
"[Hing, S.Y.]","Hing, S. Y. "
[Hudson],[Hudson ?] 
[May's Photo],May's Studio
"[McAlpin, Arthur B. and Lamb, Charles]","McAlpin, Arthur B. and Lamb, Charles"
"[Mclean, L.C. Mining Recorder]",British Columbia. Mining Recorder. 
"[Muybridge, Eadweard]","Muybridge, Eadweard"
[Police magistrate in and for the city of New Westminster],British Columbia. New Westminster Magistrate. 
[Police magistrate],British Columbia. Vancouver Magistrate. 
"[Quon, Long]","Quon, Long"
"[Shorey, Sam]","Shorey, Sam"
"[Smith, George Venable]","Smith, George Venable"
[The Chinese Benevolent Association],"Chinese Benevolent Association (Vancouver, B.C.)"
[unknown],[unknown]
[Vancouver Centre Conservative Association],Vancouver Centre Conservative Association
[Victoria Chinese Public School],Chinese Public School in Victoria
"[Wand, C.B.]",Wand Studio
[Waterman & Katz],Waterman & Katz Building
"[Watkins, Carleton]","Watkins, Carleton"
[Westlaky?],Unknown
[Wing Sang Company],Wing Sang Company
"[Woodbridge, Charles Edward?]","Case, William Howard"
[Yeelunco],Yee Lun Co. 
[Yip Sang Company],Yip Sang Company
"[Yip, Sang]","Yip, Sang"
A. Fleming and Company,A. Fleming and Company
A. Savard,"Savard, A. "
"Adamson, James","Adamson, James"
Air Canada,Air Canada
Alaska Line,Alaska Steamship Company
Alaska Steamship Company,Alaska Steamship Company
"Alavoine, David","Alavoine, David"
Alfred Meakin,Alfred Meakin
Allan Brothers & Company U.K. Limited,Allan Brothers & Company U.K. Limited
Allan Line,Allan Line Royal Mail Steamers
Allan Line Royal Mail Steamers,Allan Line Royal Mail Steamers
Allan Royal Mail Line,Allan Line Royal Mail Steamers
"Allison, R. S.","Allison, R.S."
Alma Photographic Studio,Alma Photographic Studio
American Geographical Society,American Geographical Society
American Mail Line,American Mail Line
American Society of Civil Engineers,American Society of Civil Engineers
"Anderson, Garry W.","Anderson, Garry W."
Anglo-British Columbia Packing Company,Anglo-British Columbia Packing Company
"Angus, Fred F.","Angus, Fred F."
"Angus, Henry F.","Angus, Henry F."
"Angus, R. B.","Angus, R.B."
Anti-Chinese Association,Anti-Chinese Association
"Arbuckle, Franklin","Arbuckle, Franklin"
"Armington, Frank M.","Armington, Frank M."
"Armstrong, Anthony","Armstrong, Anthony"
"Armstrong, M.","Armstrong, M."
Art Crafts Guild,Art Crafts Guild
"Art, Historical and Scientific Association","Art, Historical and Scientific Association of Vancouver"
Asia Pacific Foundation,Asia Pacific Foundation of Canada
Associated Screen News Limited,Associated Screen News Limited
"Atkins, W.","Atkins, W."
"Atkinson, Lord","Atkinson, Lord"
Australian National Travel Association,Australian National Travel Association
B. I. and H. Company Ltd,B. I. and H. Company 
B.C. Coast Steamship Service,British Columbia Coast Steamship Service
B.C. Coast Vegetable Marketing Board,British Columbia Coast Vegetable Marketing Board
