"('Bauzong Studio', 100)",('Jen Jen Studio,75,"('Wong B. Kwai Studio', 75)","('Wong B. Kwai Studio', 75)","('Wand Studio', 72)"
"('Borchers, Louis', 100)","('Borchers, Louis",100,"('Treviso, Louis', 67)","('Curtis, M. Louise', 62)","('Cumming Brothers', 60)"
"('Campbell', 100)",('Campbell Studio,100,"('Campbell, Alexander', 100)","('Campbell-Johnston, Amy E.C.', 100)","(""Campbell's Art Gallery"", 100)"
"('Wing Sang Company', 100)",('Wing Sang Company,100,"('Wing Sang Company', 100)","('Wing Sang Lung and Company', 100)","('Yip Sang Company', 86)"
"(""Chinese United Growers' Association"", 100)","(""Chinese United Growers' Association",100,"('Anti-Chinese Association', 88)","('Chinese Canadian Association', 81)","(""Chinese Student's Association"", 79)"
"('Canada', 100)",('Air Canada,100,"('Asia Pacific Foundation of Canada', 100)","('Government of Canada. Board of Conciliation and Investigation. ', 100)","('Canada. Board of Transport Commissioners', 100)"
"('[Hudson ?] ', 100)","('Hudson, G.H.E. ",100,"(""Hudson's Bay Company"", 100)","('Rodmell, Harry Hudson', 100)","('Hodson', 83)"
"('Chinese Benevolent Association (Vancouver, B.C.)', 100)","('Chinese Benevolent Association (Vancouver, B.C.)",100,"('Chinese Benevolent Association (Vancouver, B.C.)', 100)","('Anti-Chinese Association', 88)","(""Chinese Peddlers' Association of Vancouver"", 83)"
"('[unknown]', 100)",('Unknown,100,"('Unknown', 100)","('Brown', 50)","('Bruk, John', 50)"
"('Chinese Public School in Victoria', 100)",('Chinese Public School in Victoria,100,"('Chinese Public School in Vancouver', 87)","('Chinese Public School in Vancouver', 87)","('Yip, Victoria', 80)"
"('Wand Studio', 100)",('Wand Studio,100,"('Granada Studio', 80)","('Jen Jen Studio', 76)","('Weston Studio', 75)"
"('[unknown]', 100)",('Unknown,100,"('Unknown', 100)","('Brown', 50)","('Bruk, John', 50)"
"('Wing Sang Company', 100)",('Wing Sang Company,100,"('Wing Sang Company', 100)","('Wing Sang Lung and Company', 100)","('Yip Sang Company', 86)"
"('Yee Lun Co. ', 100)",('Yee Lun Co. ,100,"('Yee Lun Ark Kee Limited', 82)","('Chung, Nye', 63)","('Lee, Joe', 59)"
"('Yip Sang Company', 100)","('Yip, Sang",100,"('Yip, Sang', 100)","('Yip Sang Company', 100)","('Yip Sang Company', 100)"
"('Yip Sang Company', 100)","('Yip, Sang",100,"('Yip, Sang', 100)","('Yip Sang (Family)', 100)","('Yip Sang Company', 100)"
"('Canada', 100)",('Air Canada,100,"('Canada', 100)","('Trans-Canada Air Lines', 100)","('Asia Pacific Foundation of Canada', 75)"
"('Alaska Steamship Company', 100)",('Alaska Steamship Company,100,"('Canadian Pacific Steamship Company', 83)","('Canadian Pacific Steamship Company', 83)","('Canadian Pacific Steamship Company', 83)"
"('Alaska Steamship Company', 100)",('Alaska Steamship Company,100,"('Canadian Pacific Steamship Company', 83)","('Canadian Pacific Steamship Company', 83)","('Canadian Pacific Steamship Company', 83)"
"('Allan Line Royal Mail Steamers', 100)",('Allan Line Royal Mail Steamers,100,"('Allan Line Royal Mail Steamers', 100)","('Allan Line Royal Mail Steamers', 100)","('Nederland Royal Mail Line', 75)"
"('Allan Line Royal Mail Steamers', 100)",('Allan Line Royal Mail Steamers,100,"('Allan Line Royal Mail Steamers', 100)","('Allan Line Royal Mail Steamers', 100)","('Nederland Royal Mail Line', 75)"
"('Allan Line Royal Mail Steamers', 100)",('Allan Line Royal Mail Steamers,100,"('Allan Line Royal Mail Steamers', 100)","('Allan Line Royal Mail Steamers', 100)","('Nederland Royal Mail Line', 75)"
"('Canada', 100)",('Asia Pacific Foundation of Canada,100,"('Canada', 100)","('Air Canada', 75)","('Canada Post', 71)"
"('British Columbia Packers Association', 100)",('British Columbia Packers Association,100,"('British Columbia Legislative Association', 88)","('Tourism British Columbia', 80)","('British Association of Winnipeg', 76)"
"('Bailey Brothers Company', 100)","('Bailey Brothers Company; [Bailey, Charles S.]",100,"('Bailey Brothers Company', 100)","('Allan Brothers & Company U.K. Limited', 82)","('Thermos Bottle Company', 76)"
"('Bailey Brothers Company', 100)","('Bailey Brothers Company; [Bailey, Charles S.]",100,"('Bailey Brothers Company', 100)","('Bailey, W.F.', 75)","('Bohm, Charles', 74)"
"('Bailey Brothers Company', 100)","('Bailey Brothers Company; [Bailey, Charles S.]",100,"('Bailey Brothers Company', 100)","('Allan Brothers & Company U.K. Limited', 82)","('Thermos Bottle Company', 76)"
"('Canadian Pacific Railway Company', 100)",('Canadian Pacific Railway Company,100,"('Canadian Pacific Railway Company', 100)","('Canadian Pacific Railway Company', 100)","('Canadian Pacific Railway Company', 100)"
"('[unknown]', 100)",('Unknown,100,"('Unknown', 100)","('Brown', 50)","('Bruk, John', 50)"
"('Bedford Lemere and Co. architectural photographers', 100)",('Bedford Lemere and Co. architectural photographers,100,"('Oelrichs and Co.', 57)","('National Defense Photograph Canada', 51)","('Great North Western Telegraph Company of Canada', 48)"
"('Bedford Lemere and Co. architectural photographers', 100)",('Bedford Lemere and Co. architectural photographers,100,"('Oelrichs and Co.', 57)","('National Defense Photograph Canada', 51)","('Great North Western Telegraph Company of Canada', 48)"
"('Canada', 100)",('Government of Canada. Board of Conciliation and Investigation. ,100,"('Canada', 100)","('Government of Canada', 100)","('Air Canada', 75)"
"('Canadian Pacific Steamship Company', 100)",('Canadian Pacific Steamship Company,100,"('Canadian Pacific Steamship Company', 100)","('Canadian Pacific Steamship Company', 100)","('Canadian Pacific Railway Company', 86)"
"('Canada', 100)",('Canada. Board of Transport Commissioners,100,"('Canada', 100)","('Air Canada', 75)","('Canada Post', 71)"
"('Borchers, Louis', 100)","('Borchers, Louis",100,"('Treviso, Louis', 67)","('Curtis, M. Louise', 62)","('Cumming Brothers', 60)"
"('Brewster Transport Company', 100)",('Brewster Transport Company,100,"('G. High Company', 67)","('Pullman Company', 64)","('Sugar News Company', 64)"
"('Brewster Transport Company', 100)",('Brewster Transport Company,100,"('G. High Company', 67)","('Pullman Company', 64)","('Sugar News Company', 64)"
"('Brown', 100)","('Brown, Charles",100,"('Brown, Fred S.', 100)","('Browne, D.L.', 67)","('Bruk, John', 57)"
"('Brown', 100)","('Brown, Charles",100,"('Bohm, Charles', 80)","('Dixon, Charles', 77)","('Dixon, Charles', 77)"
"('Brown', 100)","('Brown, Fred S.",100,"('Browne, D.L.', 73)","('Brown, Charles', 72)","('Yipp, Fred', 62)"
"('British Silverware, Ltd.,  Mappin and Webb', 100)",('Mappin and Webb ,100,"('British Empire Service League. Canadian Legion', 53)","(""Canada. British Columbia. Provincial Secretary's Office"", 53)","('Canada. British Columbia. Department of Lands', 52)"
