,0
[unknown],8131
"Browne, D.L.",46
"David, Kitty",224
"Jue, Frank",672
"MacMunn, Charles",10
"Patterson, Harry",41
International Silver Company of Canada,16
"H.S. Harwood, Mr. and Mrs.",291
Mappin and Webb,46
Elkington and Company,68
Limoges,18
Alfred Meakin,12
E. Chapman Limited,1
Collingwood China Ltd.,4
Ridgway Potteries,8
Medalta,5
Minton,31
North Staffordshire Pottery Company,8
"Yip, Randall",24
Canadian Broadcasting Corporation,5
Public Schools of British Columbia,23
"Price, J. Glanville",1
W.H. Grindley and Company,62
John Maddock and Sons,29
Piper,1
Empress Manufacturing Company,4
Canadian Pacific Limited,1243
CP Ships,38
CP Rail,48
"Fraser, Norman",6
"King, Cecil",2
"Finch, W. G.",2
Canadian Pacific Railway Company,1643
"Blake, Arthur E.",105
"Crawford, Lawrence",583
"Pollard, Harry",231
"Fraser, Donald",86
"Power, Sir James, and Lady Power",154
"Sykes, Frank B.",185
"Ratcliffe, E.M.E.",117
Canadian Car and Foundry,86
Hill,1
Canadian Pacific Steamships Ocean Services Limited,1692
Colibri Lighters,1
Thermos Bottle Company,2
"Landers, Frary and Clark",1
Birmingham Silver Plate Limited,2
Morton-Parke,3
Wiley and Company,1
"British Silverware, Ltd.,  Mappin and Webb",1
Mitchell,1
Taylor and Kent,2
Elizabethan Fine Bone China,2
Sutherland,2
Dominion Glass Company,1
Royal Worcester,4
Hall China Company,5
J. and G. Meakin,1
W.T. Copeland,3
Sovereign Potters,3
Syracuse China Corporation,4
Radfords,3
Hammersley & Co. Bone China,1
Crown Staffordshire Porcelain Co. Ltd.,2
Williamson's,1
Rosenthal,1
Herbert Bushell and Son,1
Canadian Pacific Railway Company. British Columbia Coast Steamship Service,475
Yucho Chow Studio,20
White Studio,4
Wing Sang Company,10
Yip Sang (Family),1
"De Laval, John",40
"Mitchell-Foley, Ltd",1
F.G. Clover Co.,1
Camay,1
Proctor & Gamble,1
"Eddy Match Company (Quebec, Canada)",3
Kessler Productions,1
Deisgners Three Incorporated,1
E.T. Wright & Company,1
Hiram L. Piper Company,2
nan,448
"Bryson, James",1
CP Air,50
British Columbia Coast Steamships,26
Political Activities of the Chinese,2
Office Specialty Manufacturing Company,1
B. I. and H. Company,1
Fairfield Shipbuilding and Engineering Company,8
"Muir, Jessie",1
Seth Thomas Clock Company,1
A. Fleming and Company,1
Birks,1
Tress London Hats,1
J.C. Deagan Musical Bells,1
"Mar, Ramona",1
"Orr Marples, James",1
British Columbia. Lieutenant-Governor. (Francis 1881-1887),1
"Wilkinson, Norman",12
"Mason, Frank M.",1
"Dixon, Charles",4
Canadian Illustrated News,1
"Phillips, W.J.",1
"Rosenvinge, Odin",4
Poole Bros. Chicago.,1
"Hardcastle, J.H.",1
"Richmond, Leonard",5
"Tavis, G.H.",1
"Kitzig, W.",2
"Pansing, Fred",4
"Ewart, Peter",7
"Arbuckle, Franklin",1
"Kelly, J.D.",2
"Bonestell, Chesley",1
"Hilder, A.H.",3
"Logan, Maurice",2
"Armington, Frank M.",2
"Morant, Nicholas",2
"Gordon, F.",1
"Alavoine, David",1
Paterson,2
W.B.,1
"Warren, Ray",2
Chinese United Growers' Association,4
Chinese Workers Protective Association,2
Consulate of the Republic of China,1
"Quon, Long",1
Lum Ting,1
Canada,26
Nan Young Hong Association,1
Chinese Student's Association,5
New China Publishing Co.,1
Vancouver Evening Sun,1
Government of Canada. Department of the Secretary of State of Canada.,4
Sing Tao Daily,3
Globe and Mail,1
Vancouver Sun,6
Chinese Cultural Centre of Vancouver,7
United Chinese Community Enrichment Services Society,1
Christian Info News,1
"Chinese Benevolent Association (Vancouver, B.C.)",9
