"ID","RBSC_Date Created"
1,"[ca. 1920]"
2,"[1918?]"
3,"[between 1930 and 1939?]"
4,"1939-05-06"
5,"1921-07-02"
6,"[1915?]"
7,"[191-]"
8,"[1910?]"
9,"1932"
10,"between 1932-07-30 and 1932-08-01"
11,"between 1932-01-28 and 1932-03-02"
12,"[between 1915 and 1918]"
13,"[1937?]"
14,"[1922?]"
15,"[191-?]"
16,"[1912?]"
17,"[189-?]"
18,"[1942?]"
19,"[ca. 1920]"
20,"[1947?]"
21,"[between 1930 and 1939?]"
22,"[between 1890 and 1899?]"
23,"1899-08"
24,"[between 1930 and 1939?]"
25,"[1938]"
26,"[1985]"
27,"[1916?]"
28,"[not before 1930]"
30,"[between 1930 and 1939?]"
31,"[not before 1930]"
32,"[not before 1930]"
115,"[between 1930 and 1939?]"
116,"[1991?]"
117,"[1925?]"
118,"[1999]"
211,"[not before 1940]"
212,"[not before 1940]"
213,"[not before 1920]"
267,"[not before 1940]"
268,"[1929]"
269,"[not before 1950]"
270,"[not before 1920]"
329,"[not before 1950]"
330,"[not before 1930]"
331,"[between 1910 and 1919?]"
383,"[between 1930 and 1939?]"
384,"[between 1930 and 1939?]"
385,"[between 1930 and 1939?]"
386,"[between 1940 and 1949?]"
387,"[between 1940 and 1949?]"
388,"[between 1940 and 1949?]"
536,"[between 1910 and 1919?]"
537,"[between 1910 and 1919?]"
538,"[not before 1930]"
539,"[not before 1970]"
33,"[between 1910 and 1919?]"
34,"[between 1910 and 1919?]"
35,"[between 1910 and 1919?]"
36,"[not before 1920]"
37,"[not before 1950]"
38,"[1900?]"
39,"[1900?]"
40,"[not before 1950]"
41,"[1985?]"
42,"[1965]"
43,"[1950?]"
44,"[1950?]"
45,"[1950?]"
46,"[between 1930 and 1939?]"
47,"[between 1930 and 1939?]"
48,"[1949?]"
49,"[1890]"
50,"[1890]"
51,"[1890]"
52,"[not before 1920]"
53,"1994-06-16"
54,"2008-08-02"
55,"1998-10-04"
56,"1917-06-13"
57,"[1910?]"
58,"1925"
59,"1924"
60,"[not before 1930]"
61,"[1950?]"
62,"[1950?]"
63,"[1950?]"
64,"[1950?]"
65,"[1941-09]"
66,"[1960?]"
67,"[1940?]"
68,"[1940?]"
69,"[1900?]"
71,"[not before 1920]"
72,"[between 1910 and 1919?]"
73,"1928-06"
74,"1939"
75,"[not before 1930]"
76,"[1985]"
77,"[not before 1940]"
78,"[not before 1950]"
79,"[1929]"
80,"[1929]"
81,"[not before 1930]"
82,"[not before 1930]"
83,"[1929]"
84,"[1929]"
